EFRWT	CDT
MFMEWTI	JJ
AT	AT
H	H
QNSWT	NN
L	IN
H	H
MESIQIM	NN
yyDOT	yyDOT

XUK	NN
ALI	NNP
DIIN	NNP
yyLRB	yyLRB
MERK	NNP
yyRRB	yyRRB
HGIF	VB
HCET	yyELPS
XWQ	NNT
F	REL
LPI	yyELPS
HIA	AGR
IWJL	yyELPS
HIJL	yyELPS
EL	IN
MESIQI	JJT
EWBDIM	NN
ZRIM	JJ
yyCM	yyCM
KDI	IN
LMNWE	VB
HEDPTM	NN
EL	IN
EWBDIM	NN
IFRALIIM	JJ
yyDOT	yyDOT

XBRWT	NNT
H	REL
MESIQWT	JJT
EWBDIM	VB
ZRIM	yyELPS
ZWKWT	JJT
B	IN
MKRZIM	yyELPS
yyCM	yyCM
HIWT	yyELPS
W	CC
HN	AGR
MCIEWT	ZVL
FIRWTIM	yyELPS
ZWLIM	yyELPS
IWTR	RBR
yyDOT	yyDOT

XUK	NN
RN	NNP
KHN	NNP
yyLRB	yyLRB
RC	NNP
yyRRB	yyRRB
AMR	VB
KI	COM
EL	IN
H	H
WWEDH	NN
LPNWT	VB
L	IN
H	H
MMFLH	NN
B	IN
DRIFH	NN
LXSL	yyELPS
AT	AT
HESQT	yyELPS
H	H
EWBDIM	NN
H	H
ZRIM	JJ
LALTR	RB
yyCM	yyCM
EL	IN
RQE	NNT
HICE	NNT
H	H
EWLIM	NN
H	REL
MWKNIM	VB
LEBWD	VB
B	IN
KL	DT
EBWDH	NN
B	IN
FKR	NNT
H	H
MINIMWM	NN
yyDOT	yyDOT

L	IN
DBRIW	NN
yyCM	yyCM
IF	VB
LPNWT	VB
L	IN
MFRD	NNT
H	H
EBWDH	NN
W	CC
H	H
RWWXH	NN
B	IN
DRIFH	NN
LBJL	VB
BTWK	IN
XWDF	NN
AT	AT
EBWDT	NNT
H	H
EWBDIM	NN
H	H
ZRIM	JJ
H	H
MWESQIM	yyELPS
KIWM	RB
TXT	yyELPS
H	H
KWTRT	WDT
yyQUOT	yyQUOT
MTNDBIM	yyELPS
yyQUOT	yyQUOT
yyDOT	yyDOT

XUK	NN
IAIR	NNP
CBN	NNP
yyLRB	yyLRB
MPM	NNP
yyRRB	yyRRB
AMR	VB
KI	COM
PRFT	NNT
H	REL
MTNDBIM	yyELPS
H	H
TAILNDIIM	JJT
HIA	AGR
yyQUOT	yyELPS
KTM	JJT
XRPH	yyELPS
EL	IN
PRCWPNW	AGR
H	ZVL
LAWMI	JJ
yyDOT	yyDOT

H	H
MWX	NN
MTPLC	VB
LA	RB
RQ	MOD
M	IN
H	H
TWPEH	NN
H	H
MBIFH	JJ
ALA	CC
GM	MOD
M	IN
DRKI	NNT
H	H
HERMH	NN
yyDOT	yyDOT

H	H
RAF	NN
H	H
IHWDI	JJ
MMCIA	REL
L	IN
ANXNW	PRP
PJNJIM	VB
B	IN
DMWT	NN
MTNDBIM	JJ
yyCM	yyCM
H	REL
MFWLMIM	VB
FKR	NN
MXPIR	JJ
yyQUOT	yyQUOT
yyDOT	yyDOT

HWA	PRP
QRA	VB
L	IN
HPSQT	NNT
H	H
TWPEH	NN
W	CC
L	IN
MTN	NNT
TFLWMIM	NN
RJRWAQJIWWIIM	JJ
L	IN
H	H
TAILNDIM	NN
yyCM	yyCM
F	REL
IFLIMW	VB
AT	AT
FKR	NNT
H	H
MINIMWM	NN
yyDOT	yyDOT

DWBRT	HAM
FIRWT	NNT
H	H
TESWQH	NN
MSRH	VB
ATMWL	RB
B	IN
TGWBH	NN
yyCM	yyCM
KI	COM
H	H
FIRWT	NN
PWEL	VB
L	IN
CMCWM	NNT
MSPRM	NN
FL	POS
H	H
EWBDIM	NN
H	H
ZRIM	JJ
W	CC
L	IN
HKNST	NNT
EWLIM	NN
XDFIM	JJ
B	IN
MQWMM	NN
yyDOT	yyDOT

yyQUOT	yyQUOT
LAXR	IN
PEILWT	NN
NMRCT	JJ
B	IN
H	H
FBWEWT	NN
H	H
AXRWNIM	JJ
yyCM	yyCM
CWMCM	VB
MSPR	DT
H	H
EWBDIM	NN
H	H
ZRIM	JJ
B	IN
ENP	NNT
H	H
AXIWT	yyELPS
B	IN
50	yyELPS
O	NN
yyDOT	yyDOT

ED	IN
SWP	NNT
H	H
FNH	NN
LA	RB
TWESQ	VB
B	IN
H	H
ARC	NN
AP	RB
AXWT	VB
K	IN
EWBDT	NNT
ZRH	NN
yyQUOT	yyQUOT
yyDOT	yyDOT

H	H
DWBRT	NN
AMRH	VB
KI	COM
H	H
FIRWT	NN
QWRA	VB
L	IN
H	H
XQLAIM	NN
LDAWG	VB
L	IN
EWBDIM	NN
IFRALIIM	JJ
yyCM	yyCM
BMQWM	IN
L	IN
TAILNDIM	NN
yyDOT	yyDOT

yyQUOT	yyQUOT
H	H
FIRWT	NN
LA	RB
FINH	VB
AT	AT
H	H
MDINIWT	NN
B	IN
NWFA	NN
HESQT	REL
TAILNDIM	VB
B	IN
XQLAWT	NN
yyCM	yyCM
ALA	CC
LHIPK	RB
yyCM	yyCM
HWA	PRP
HBHIR	VB
L	IN
TNWET	NNT
H	H
MWFBIM	NN
F	COM
KL	DT
EWBD	NN
IFRALI	JJ
F	REL
ISKIM	RB
LEBWD	VB
B	IN
ENP	NNT
H	H
XQLAWT	NN
yyCM	yyCM
IFWBC	VB
L	IN
H	H
EBWDH	NN
LALTR	RB
yyQUOT	yyQUOT
yyDOT	yyDOT

MAMRW	NN
FL	POS
TWM	NNT
FGB	NNP
yyCM	yyCM
yyQUOT	yyQUOT
H	H
QRB	NN
EL	IN
SN	NNP
SIMWN	NNP
HIH	VB
AW	CC
LA	RB
HIH	VB
yyQUOT	yyQUOT
yyLRB	yyLRB
yyQUOT	yyQUOT
H	H
ARC	NN
yyQUOT	yyQUOT
105	CD
yyRRB	yyRRB
yyCM	yyCM
HGIE	VB
L	IN
IDI	NNT
RQ	MOD
B	IN
IMIM	NN
ALH	JJ
yyDOT	yyDOT

LMRWT	IN
F	COM
XLPW	VB
MAZ	IN
24	CD
FNH	NN
yyCM	yyCM
W	CC
LMRWT	IN
F	COM
AIRWEI	NNT
IMIM	NN
ALH	JJ
AWLI	RB
MAPILIM	VB
EL	IN
KL	DT
DBR	NN
AXR	JJ
yyCM	yyCM
ANI	PRP
MRGIF	AUX
XWBH	NN
B	IN
FMM	NN
FL	POS
H	H
XLLIM	NN
yyCM	yyCM
H	H
PCWEIM	NN
W	CC
LWXMI	NNT
H	H
QRB	NN
H	H
ZH	JJ
yyCM	yyCM
K	IN
AXD	CDT
F	REL
HIH	VB
FM	RB
yyCM	yyCM
LHTIIXS	VB
L	IN
H	H
MAMR	NN
yyDOT	yyDOT

QJEI	NNT
H	H
MAMR	NN
H	REL
EWSQIM	VB
B	IN
H	H
QRB	NN
ECMW	PRP
yyCM	yyCM
W	CC
F	COM
RQ	MOD
ALI	IN
HM	PRP
ATIIXS	VB
yyCM	yyCM
MAWPIINIM	VB
B	IN
XWSR	NNT
HIGIWN	NN
W	CC
B	IN
SILWP	NNT
EWBDWT	NN
yyCM	yyCM
W	CC
MEIDIM	yyELPS
EL	IN
H	HAM
KWTB	yyELPS
KI	COM
HWA	AGR
MFWLL	JJT
HBNH	NN
JQJIT	JJ
MINIMLIT	JJ
W	CC
NISIWN	NN
QRBI	JJ
MFMEWTI	JJ
yyDOT	yyDOT

W	CC
KET	RB
L	IN
H	H
EWBDWT	NN
H	H
MCWJJWT	JJ
yyCLN	yyCLN
KWTRT	NN
H	H
MAMR	NN
yyCM	yyCM
yyQUOT	yyQUOT
H	H
QRB	NN
EL	IN
SN	NNP
SIMWN	NNP
yyCLN	yyCLN
HIH	VB
LA	RB
HIH	VB
yyQUOT	yyQUOT
yyCM	yyCM
MRMZT	VB
KI	COM
IITKN	VB
F	COM
B	IN
H	H
MNZR	NN
KLL	RB
LA	RB
HTNHL	VB
QRB	NN
yyDOT	yyDOT

L	IN
KL	DT
ALH	PRP
H	HAM
MTRFMIM	yyELPS
W	CC
MSTPQIM	yyELPS
B	IN
QRIAT	NNT
H	H
KWTRT	NN
BLBD	RB
yyCM	yyCM
ANI	PRP
IKWL	VB
LHBJIX	VB
F	COM
AKN	RB
HTNHL	VB
FM	RB
QRB	NN
yyCM	yyCM
W	CC
HWA	PRP
HIH	AUX
AXD	CDT
H	ZVL
QFIM	yyELPS
W	ZVL
H	ZVL
MPWARIM	JJT
B	IN
KL	yyELPS
QRBWT	NN
IFRAL	NNP
yyDOT	yyDOT

W	CC
EL	IN
KK	PRP
TEID	VB
H	H
HISJWRIH	NN
yyCM	yyCM
W	CC
IEIDW	VB
EFRWT	CDT
H	H
LWXMIM	NN
F	REL
NFARW	VB
B	IN
H	H
XIIM	NN
W	CC
HCLIXW	VB
LBCE	VB
AT	AT
MFIMTM	NN
EL	IN
AP	DT
H	H
ABDWT	NN
H	H
KBDWT	JJ
yyDOT	yyDOT

B	IN
MLXMT	NNT
H	H
ECMAWT	NN
yyCM	yyCM
B	IN
H	H
QRB	NN
EL	IN
IRWFLIM	NNP
yyCM	yyCM
NFARH	VB
FKWNT	NNT
QJMWN	NN
TQWEH	JJ
B	IN
LB	NNT
IRWFLIM	NNP
H	H
MERBIT	JJ
W	CC
FIMFH	VB
K	IN
MRKZ	NNT
KWX	NN
ERBI	JJ
RB	JJ
W	CC
MAWRGN	JJ
yyDOT	yyDOT

H	H
FJX	NN
H	H
XIWNI	JJ
FL	POS
QJMWN	NNP
L	IN
FLIJH	NN
B	IN
AZWR	NN
MSWIM	JJ
AW	CC
L	IN
NICXWN	NN
B	IN
H	H
QRB	NN
HIH	AUX
MNZR	NNP
SN	NNP
SIMWN	NNP
yyCM	yyCM
W	CC
LKN	CC
HIH	AUX
ELI	IN
ANXNW	PRP
LHFTLJ	VB
ELI	IN
HWA	PRP
yyDOT	yyDOT

KTWB	NNP
yyCLN	yyCLN
yyQUOT	yyQUOT
B	IN
XWKMH	NN
EFH	VB
L	IN
ATH	PRP
MLXMH	NN
yyQUOT	yyQUOT
yyDOT	yyDOT

AKN	RB
yyCM	yyCM
KK	PRP
EFTH	VB
XJIBT	yyCLN
yyQUOT	yyQUOT
HRAL	NNP
yyQUOT	yyQUOT
yyDOT	yyDOT

HIA	AGR
KBFH	yyELPS
TXILH	yyELPS
AT	AT
H	ZVL
MNZR	JJT
W	ZVL
AT	AT
HTNGDWT	yyELPS
H	H
AWIB	yyELPS
FBRH	JJT
LAXR	IN
M	IN
KN	PRP
yyCM	yyCM
B	IN
QRB	NNT
MGNNH	NN
F	REL
HTNHL	VB
BTWK	IN
H	H
MNZR	NN
yyLRB	yyLRB
QRB	NNT
MGNNH	JJT
MIWED	yyELPS
L	IN
FBIRT	AGR
KWXWT	yyELPS
XZQIM	yyELPS
M	IN
ATH	yyEXCL
yyRRB	yyRRB
yyDOT	yyDOT

H	H
AWIB	NN
AMNM	RB
NFBR	ZVL
yySCLN	yySCLN
QRB	yyELPS
H	H
MGNNH	JJT
HPK	AUX
L	yyELPS
NICXWN	NNT
MWXC	JJT
yySCLN	yySCLN
QJMWN	JJT
NPLH	yyELPS
W	CC
IRWFLIM	yyELPS
H	ZVL
MERBIT	JJ
AWXDH	JJ
yyDOT	yyDOT

H	H
MAMR	NN
yyCM	yyCM
H	H
MCJJ	JJT
M	IN
MXQRW	yyELPS
FL	POS
AWRI	yyELPS
MILFJIIN	JJT
yyCLN	yyCLN
yyQUOT	yyQUOT
MLKTXILH	RB
LA	RB
HIH	AUX
CRIK	VB
LKBWF	VB
AT	AT
H	H
MNZR	JJT
yyELPS	yyELPS
yyQUOT	yyELPS
yyCM	yyCM
MCBIE	yyELPS
EL	IN
XWSR	yyELPS
HBNH	yyELPS
ASJRJGIT	JJT
W	ZVL
JQJIT	JJT
B	IN
SWGIH	yyELPS
ZW	PRP
yyDOT	yyDOT

MWRFT	ZVL
H	H
QRB	NN
F	COM
CHUL	NNP
AIMC	VB
K	IN
TWCAH	NN
M	IN
H	H
QRB	NN
EL	IN
MNZR	NNT
SN	NNP
SIMWN	NNP
AINNH	RB
MITWS	NN
yyDOT	yyDOT

HIA	PRP
MBWSST	VB
EL	IN
AWTW	DT
QRB	NNT
H	H
MGNNH	NN
F	REL
B	IN
HWA	AGR
AIREW	yyELPS
MEFI	NNT
GBWRH	yyELPS
EILAIIM	JJT
yyCM	yyCM
W	CC
EL	IN
QBLT	NNT
HXLJWT	NN
QFWT	JJ
B	IN
TNAI	NNT
QRB	NN
yyDOT	yyDOT

XWSR	NNT
NISIWN	NN
W	CC
ELILH	NN
ZDWNIT	JJ
BAIM	VB
L	IN
BIJWI	NN
B	IN
QJE	NNT
H	H
MAMR	NN
H	REL
DN	VB
B	IN
NWFA	NNT
yyQUOT	yyQUOT
RCX	NNT
H	H
NZIRWT	NN
yyQUOT	yyQUOT
yyDOT	yyDOT

KL	DT
IFRALI	yyELPS
H	H
MNWSH	yyELPS
B	IN
QRB	yyELPS
LILH	yyELPS
B	IN
FJX	yyELPS
BNWI	yyELPS
yyLRB	yyLRB
K	yyEXCL
MNZR	CDT
SN	NNP
SIMWN	WDT
yyRRB	yyRRB
IWDE	yyELPS
yyCM	yyCM
KI	yyELPS
TWK	IN
KDI	yyELPS
PRICH	JJT
B	IN
H	HAM
XFKH	JJT
QWDM	yyELPS
KL	DT
IWRIM	yyELPS
B	IN
KL	yyELPS
DBR	NNT
F	REL
NE	yyELPS
M	IN
MWL	IN
ATH	PRP
yyDOT	yyDOT

W	CC
AKN	RB
yyCM	yyCM
KK	PRP
QRH	VB
B	IN
H	H
PRICH	NN
L	IN
H	H
MNZR	NN
H	H
XFWK	JJ
LXLWJIN	MOD
yyDOT	yyDOT

LA	RB
NHRGW	VB
yyQUOT	yyQUOT
NZIRWT	NNP
yyQUOT	yyQUOT
yyCM	yyCM
ALA	CC
NFIM	NN
ERBIWT	JJ
yyCM	yyCM
KNRAH	RB
MFRTWT	VB
B	IN
H	H
MNZR	NN
yyDOT	yyDOT

XBL	RB
yyDOT	yyDOT

AIF	NN
LA	RB
HTKWWN	yySCLN
L	IN
KK	PRP
yyDOT	yyDOT

CIJWJ	ZVL
M	IN
H	H
MAMR	NN
yyCLN	yyCLN
yyQUOT	yyQUOT
B	IN
ET	NNT
F	REL
NWRTH	JJT
yyCM	yyCM
yyLRB	yyLRB
H	HAM
NZIRH	JJT
yyRRB	yyRRB
ESQH	VB
B	IN
JIPWL	NN
B	IN
PCWEIM	NN
yyQUOT	yyQUOT
yyDOT	yyDOT

AIZH	DT
PCWEIM	NN
yyQM	yyQM

HRI	RB
KWTB	VB
H	H
MAMR	NN
QWBE	VB
yyCM	yyCM
PSQH	NN
QWDM	JJ
L	IN
H	H
KN	PRP
yyCM	yyCM
KI	COM
H	REL
MNZR	JJT
HIH	AUX
RIQ	yyELPS
M	ZVL
MGINIM	JJT
yyDOT	yyDOT

ANI	PRP
HIITI	AUX
FM	NN
yyCM	yyCM
W	CC
KL	DT
TIAWR	yyELPS
H	H
GWWIIH	JJT
yyLRB	yyLRB
yyQUOT	yyEXCL
ZH	AGR
HIH	AUX
MRAH	yyELPS
AIWM	yyELPS
FL	POS
DM	yyELPS
W	CC
BFR	yyELPS
W	ZVL
AIBRI	JJT
MIN	WDT
yyQUOT	yyQUOT
yyRRB	yyELPS
HWA	AGR
FQR	yyELPS
W	CC
KZB	JJ
yyDOT	yyDOT

LA	MOD
HIH	AUX
KAN	yyELPS
RCX	NN
NZIRWT	yyELPS
yyCM	yyCM
ALA	yyELPS
NISIWN	NN
L	yyELPS
RCX	NN
JWHR	yyELPS
H	H
NFQ	yyELPS
FL	POS
H	REL
PLMUX	JJT
B	IN
JWHR	yyELPS
EJ	JJT
H	REL
SWPRIM	yyELPS
FL	POS
H	REL
KWTB	VB
yyDOT	yyDOT

H	H
IDIEH	NN
F	REL
PWRSMH	VB
TXT	IN
H	H
KWTRT	NN
yyCLN	yyCLN
yyQUOT	yyQUOT
HWRIM	NN
B	IN
BIT	NNT
H	H
SPR	NN
B	IN
NWWH	ZVL
yyDASH	yyDASH
MWNWSWN	JJT
NGD	IN
JIWL	yyELPS
L	IN
IRWFLIM	yyELPS
yySCLN	yySCLN
JWENIM	yyELPS
yyCLN	yyCLN
HPGNH	yyELPS
PWLIJIT	JJ
yyQUOT	HAM
yySCLN	yySCLN
yyLRB	yyLRB
yyQUOT	yyQUOT
H	H
ARC	NN
yyQUOT	yyQUOT
yyCM	yyCM
0192	CD
yyRRB	yyRRB
yyCM	yyCM
HJRIDH	VB
AWT	AT
ANI	PRP
MAWD	RB
yyDOT	yyDOT

NILI	NNP
MNDLR	NNP
yyCM	yyCM
F	REL
MSRH	VB
AT	AT
H	H
IDIEH	NN
MPI	IN
HWRIM	NN
yyLRB	yyLRB
AIN	RB
IWDEIM	VB
AM	IN
MDWBR	NN
B	IN
HWRH	VB
BWDD	JJ
yyCM	yyCM
AW	CC
B	IN
QBWCT	NNT
HWRIM	NN
MSWIMT	JJ
yyRRB	yyRRB
yyCM	yyCM
KTBH	VB
KI	IN
yyQUOT	yyQUOT
AXD	CDT
H	ZVL
HWRIM	yyELPS
yyCM	yyCM
F	yyELPS
HXZIR	yyELPS
L	IN
H	HAM
MNHLT	yyELPS
AT	AT
H	ZVL
SPX	JJT
H	ZVL
XWZR	JJ
F	REL
B	IN
HWA	PRP
HBIE	VB
HTNGDWT	NN
L	IN
HFTTPWT	NNT
ILDW	NN
B	IN
H	H
JIWL	NN
yyCM	yyCM
JEN	VB
KI	COM
yyQUOT	yyQUOT
ZHW	PRP
XINWK	NN
PWLIJI	JJ
KAFR	IN
ILDINW	NNP
MFMFIM	VB
AMCEI	NN
XI	JJ
L	IN
HPGNWT	NN
yyQUOT	yyQUOT
yyDOT	yyDOT

LFM	IN
AIZWN	NN
H	H
NWFA	NN
yyCM	yyCM
EL	IN
ANI	PRP
LCIIN	VB
KI	COM
ANI	PRP
NMNH	VB
EL	IN
H	H
HWRIM	NN
F	REL
HBIEW	VB
AT	AT
HSKMTM	PRP
L	IN
QIWM	NNT
H	H
JIWL	NN
yyDOT	yyDOT

LA	MOD
RQ	MOD
F	COM
AIN	RB
ZH	PRP
ENIIN	NN
PWLIJI	JJ
ALA	CC
ZH	MOD
NWFA	NNT
XINWKI	yyELPS
yyDASH	yyDASH
LAWMI	yyELPS
M	IN
MDRGH	yyELPS
RAFWNH	JJ
yyDOT	yyDOT

ANI	PRP
GM	RB
MWKN	VB
LHSTKN	VB
W	CC
LFER	yyELPS
KI	COM
H	REL
HWRH	yyELPS
yyCM	yyCM
AW	yyELPS
QBWCT	NNT
H	REL
HWRIM	yyELPS
F	REL
HTNGDH	yyELPS
L	IN
H	HAM
JIWL	yyELPS
yyCM	yyELPS
MSTTRIM	JJT
TXT	IN
H	HAM
MEJH	yyELPS
FL	POS
JIEWN	yyELPS
PWLIJI	JJ
NBWB	QW
W	ZVL
LMEFH	yyELPS
HM	PRP
PWXDIM	yyELPS
LFLWX	yyELPS
AT	AT
ILDIHM	yyELPS
FMA	QW
AIZH	WDT
ERBI	JJ
INEC	VB
B	IN
HM	PRP
SKIN	NN
B	IN
H	H
GB	NN
yyDOT	yyDOT

ANI	PRP
MWKN	VB
yyCM	yyCM
W	CC
RWCH	VB
yyCM	yyCM
LFLWX	VB
AT	AT
H	H
ILD	NN
FL	POS
ANI	PRP
L	IN
IRWFLIM	NNP
EM	IN
ZR	NNT
PRXIM	NN
W	CC
EM	IN
QWPST	NN
MMTQIM	JJ
yyCM	yyCM
KDI	IN
LHBIE	yyELPS
HWQRH	JJT
W	CC
EIDWD	yyELPS
L	IN
H	HAM
NKD	JJT
FL	POS
ABA	yyELPS
QWBNR	JJT
yyCM	yyCM
F	yyELPS
XJP	VB
SKIN	yyELPS
B	IN
H	HAM
RAF	yyELPS
MIDI	CDT
AWTW	DT
MRCX	JJT
FPL	yyELPS
F	REL
DQR	yyELPS
L	IN
H	H
MWWT	NN
FLWFH	CD
IHWDIM	NN
B	IN
FKWNT	NNT
BQEH	NN
yyDOT	yyDOT

ANI	PRP
RWCH	VB
F	COM
H	H
ILD	NN
FL	POS
ANI	PRP
ISTKL	VB
B	IN
H	H
EINIIM	NN
FL	POS
H	H
ILD	NN
H	H
PGWE	JJ
W	CC
IGID	VB
L	IN
HWA	PRP
yyCLN	yyCLN
yyQUOT	yyQUOT
ATH	PRP
LA	RB
LBDK	VB
B	IN
IRWFLIM	NNP
yyCM	yyCM
KI	COM
GM	MOD
ANXNW	PRP
H	REL
GRIM	VB
B	IN
NWWH	NNT
yyDASH	yyDASH
MWNSWN	NN
yyCM	yyCM
AT	AT
ATH	PRP
B	IN
LB	NNT
AITN	NNP
BIXD	RB
yyQUOT	yyQUOT
yyDOT	yyDOT

ANI	PRP
MWKN	VB
LHEID	VB
KI	COM
GM	MOD
ABI	NNP
ZUL	NNP
yyCM	yyCM
F	REL
LQX	VB
AWT	AT
ANI	PRP
B	IN
AWJWBWS	NN
L	IN
IRWFLIM	NNP
B	IN
FNT	NNT
TRCUX	NN
KAFR	IN
H	H
ERBIM	NN
IRW	VB
EL	IN
KBIF	NNT
BAB	NNP
AL	NNP
yyDASH	yyDASH
WAD	NNP
yyCM	yyCM
AMR	VB
L	IN
ANI	PRP
yyCLN	yyCLN
yyQUOT	yyQUOT
ALI	IN
yyEXCL	yyEXCL
AM	HAM
TFME	JJT
IRIWT	yyELPS
TTKWPP	JJT
yyCM	yyCM
ABL	CC
AL	IN
TPXD	NN
yyQUOT	yyQUOT
yyDOT	yyDOT

W	CC
LKN	CC
ANI	PRP
AWMR	VB
L	IN
KL	DT
ILDI	yyELPS
IFRAL	NNP
yyCLN	yyELPS
AL	RB
TPXDW	ZVL
yyEXCL	yyEXCL
SEW	JJT
L	IN
IRWFLIM	yyELPS
yyCM	yyCM
APILW	yyELPS
AM	HAM
IWRIM	yyELPS
AW	NNP
AM	HAM
MTEWPPIM	JJT
FM	RB
SKINIM	NN
yyDOT	yyDOT

H	H
PJIF	NN
H	H
KBD	JJ
F	REL
HNXIT	VB
H	H
PWEL	NN
H	H
ERBI	JJ
EL	IN
RAFIHM	NN
FL	POS
MESIQW	NN
W	CC
XBRW	NN
yyCM	yyCM
H	H
SKIN	NN
F	COM
IDW	NN
FL	POS
AIF	NNT
H	H
MRKWL	NN
TQEH	VB
B	IN
AXD	CDT
H	H
SPQIM	NN
yyCM	yyCM
W	CC
RCX	NNT
H	H
MSEDN	NN
B	IN
EIN	NNT
KRM	NN
ZH	JJ
LA	MOD
M	IN
KBR	RB
EL	IN
yyDASH	yyDASH
IDI	NNT
AXD	CDT
M	ZVL
EWBDIW	yyELPS
yyCM	yyCM
AP	yyELPS
HWA	AGR
ERBI	yyELPS
yyCM	yyCM
MELH	yyELPS
M	IN
NBKI	yyELPS
H	H
ZIKRWN	yyELPS
AT	AT
H	ZVL
PTGM	JJT
yyCLN	yyCLN
